time,frequency,confidence
5.150,208.895,0.701755
5.160,209.790,0.862439
5.170,212.645,0.890192
5.180,217.068,0.883998
5.190,217.612,0.919474
5.200,216.425,0.894653
5.210,216.462,0.891147
5.220,217.770,0.922075
5.230,219.109,0.907836
5.240,219.456,0.907621
5.250,218.892,0.926750
5.260,217.805,0.892524
5.270,216.550,0.726955
5.280,215.515,0.506478
5.290,217.846,0.642100
5.300,216.721,0.737102
5.310,212.748,0.580377
5.320,284.677,0.446598
5.330,288.954,0.608146
5.340,292.247,0.714448
5.350,293.419,0.865642
5.360,291.787,0.917260
5.370,289.398,0.816832
5.380,282.907,0.814611
5.390,278.112,0.935688
5.400,276.030,0.891495
5.410,275.676,0.797907
5.420,276.424,0.572239
5.430,284.042,0.518494
5.440,284.498,0.670015
5.450,282.657,0.629795
5.460,279.976,0.713140
5.470,277.064,0.560090
5.480,268.572,0.472002
5.490,268.286,0.553507
5.500,267.607,0.316552
5.510,269.666,0.165191
5.520,268.746,0.373719
5.530,268.274,0.424924
5.540,269.552,0.613168
5.550,268.099,0.501534
5.560,264.196,0.348301
5.570,268.513,0.348281
5.580,267.689,0.287901
5.590,232.302,0.200055
5.600,274.077,0.145515
5.610,274.071,0.290727
5.620,1211.275,0.014428
5.630,141.399,0.027750
5.640,39.595,0.018611
5.650,34.903,0.029425
5.660,164.097,0.081862
5.670,165.502,0.080916
5.680,187.168,0.095679
5.690,190.839,0.037667
5.700,96.811,0.050794
5.710,36.612,0.060844
5.720,36.399,0.047169
5.730,43.482,0.108096
5.740,43.733,0.164662
5.750,45.767,0.032032
5.760,129.294,0.077233
5.770,156.426,0.091082
5.780,157.062,0.104086
5.790,144.196,0.033092
5.800,140.957,0.176655
5.810,133.110,0.180929
5.820,133.783,0.416222
5.830,137.419,0.328494
5.840,137.218,0.175517
5.850,154.947,0.261259
5.860,158.631,0.334950
5.870,135.273,0.073688
5.880,38.433,0.132976
5.890,139.570,0.234645
5.900,140.386,0.227396
5.910,136.623,0.418244
5.920,139.224,0.386389
5.930,151.784,0.241300
5.940,130.531,0.124967
5.950,99.335,0.088143
5.960,290.005,0.229594
5.970,32.643,0.099504
5.980,56.845,0.079653
5.990,56.296,0.078744
6.000,32.307,0.074338
6.010,32.252,0.098847
6.020,32.354,0.063802
6.030,284.307,0.077620
6.040,285.752,0.434088
6.050,299.438,0.499122
6.060,302.926,0.634380
6.070,305.910,0.777670
6.080,306.028,0.792893
6.090,304.150,0.682834
6.100,292.056,0.406237
6.110,283.775,0.414432
6.120,256.575,0.336759
6.130,257.342,0.089666
6.140,1038.863,0.013058
6.150,141.576,0.004787
6.160,32.401,0.011080
6.170,279.750,0.061057
6.180,267.984,0.249921
6.190,262.719,0.310238
6.200,264.771,0.348076
6.210,268.683,0.496112
6.220,270.362,0.187549
6.230,267.193,0.206228
6.240,287.111,0.121027
6.250,142.333,0.068391
6.260,141.149,0.020228
6.270,1186.988,0.048791
6.280,1121.564,0.018306
6.290,1128.025,0.057466
6.300,1139.155,0.109809
6.310,1151.543,0.184234
6.320,1161.584,0.291769
6.330,1168.709,0.396894
6.340,582.984,0.200033
6.350,1175.344,0.063045
6.360,1168.467,0.056462
6.370,1166.175,0.107520
6.380,1169.752,0.079789
6.390,1177.125,0.060748
6.400,1184.361,0.040019
6.410,1199.969,0.016479
6.420,1932.558,0.005246
6.430,1083.539,0.003364
6.440,1072.717,0.001535
6.450,32.160,0.005610
6.460,32.188,0.003478
6.470,591.902,0.003542
6.480,1886.009,0.018027
6.490,1865.717,0.064865
6.500,1842.711,0.098543
6.510,1793.815,0.043780
6.520,1778.235,0.010927
6.530,1121.737,0.010221
6.540,36.031,0.366995
6.550,140.270,0.051778
6.560,138.753,0.156599
